start;end;duration;jobs;njobs;days;ndays
252854455600;252854635545;179945;2;1;3;1
252854635545;252854637114;1569;2;1;3;1
252854637114;252854773357;136243;2;1;3;1
252854773357;252855648564;875207;2;1;3;1
252855648564;252855667473;18909;2;1;3;1
252855667473;252855686123;18650;2;1;3;1
252855686123;252855691281;5158;2;1;3;1
252855691281;252855891191;199910;2;1;3;1
252855891191;252856121574;230383;2;1;3;1
252856121574;252856785101;663527;2;1;3;1
252856785101;252856786767;1666;2;1;3;1
252856786767;252856832423;45656;2;1;3;1
252856832423;252856916559;84136;2;1;3;1
252856916559;252856916570;11;2;1;3;1
252856916570;252856916587;17;2;1;3;1
252856916587;252856916617;30;2;1;3;1
252856916617;252856916633;16;2;1;3;1
252856916633;252856916663;30;2;1;3;1
252856916663;252856916717;54;2;1;3;1
252856916717;252856917696;979;2;1;3;1
252856917696;252856917735;39;2;1;3;1
252856917735;252856917841;106;2;1;3;1
252856917841;252856917859;18;2;1;3;1
252856917859;252856917894;35;2;1;3;1
252856917894;252856917997;103;2;1;3;1
252856917997;252856918118;121;2;1;3;1
252856918118;252862407591;5489473;2;1;3;1
252862407591;254131044434;1268636843;2;1;3;1
257763390768;257810856778;47466010;0,2;2;3;1
258779767176;258814211978;34444802;1;1;3;1
