start;end;duration;jobs;njobs;days;ndays
258110781411;258110842298;60887;9;1;1;1
258110897782;258110897803;21;9;1;1;1
258110897803;258110899914;2111;9;1;1;1
258110899914;258110900955;1041;9;1;1;1
258110900955;258110906675;5720;9;1;1;1
258110906675;258110906892;217;9;1;1;1
258110906892;258110907673;781;9;1;1;1
258110907673;258110909415;1742;9;1;1;1
258110909415;258110920667;11252;9;1;1;1
258110920667;258110920996;329;9;1;1;1
258110920996;258110921086;90;9;1;1;1
258110921086;258110923895;2809;9;1;1;1
258110923895;258110926799;2904;9;1;1;1
258110926799;258110932680;5881;9;1;1;1
258110932680;258110933733;1053;9;1;1;1
258110933733;258110936905;3172;9;1;1;1
258110936905;258110938177;1272;9;1;1;1
258110938177;258110939187;1010;9;1;1;1
258110939187;258110939900;713;9;1;1;1
258110939900;258110940026;126;9;1;1;1
258110940026;258110943430;3404;9;1;1;1
258110943430;258110944638;1208;9;1;1;1
258110947406;258110949791;2385;9;1;1;1
258110949791;258110949965;174;9;1;1;1
258110949965;258110949978;13;9;1;1;1
258110949978;258110950537;559;9;1;1;1
258110950537;258110950911;374;9;1;1;1
258110950911;258110951451;540;9;1;1;1
258110951451;258110952408;957;9;1;1;1
258111013080;258111013904;824;9;1;1;1
258111014200;258111014327;127;9;1;1;1
258111015342;258111021197;5855;9;1;1;1
258111022473;258111026753;4280;9;1;1;1
258111026753;258111027370;617;9;1;1;1
258111029713;258111029816;103;9;1;1;1
258111030567;258111030993;426;9;1;1;1
258111031599;258111033101;1502;9;1;1;1
258111033101;258111040047;6946;9;1;1;1
