start;end;duration;jobs;njobs;days;ndays
223076382203;223076385509;3306;11;1;1;1
226930029764;226930033217;3453;11;1;1;1
230406957335;230406960613;3278;11;1;1;1
233873858752;233873862104;3352;11;1;1;1
237728219166;237728222525;3359;11;1;1;1
241761630179;241761633456;3277;11;1;1;1
245945410519;245945413974;3455;11;1;1;1
249710955171;249710958486;3315;11;1;1;1
258133515298;258133524398;9100;9;1;1;1
258133526480;258133526830;350;9;1;1;1
258133527684;258133528732;1048;9;1;1;1
258133529369;258133582749;53380;9;1;1;1
258133654326;258133666592;12266;9;1;1;1
258133667234;258133707912;40678;9;1;1;1
258133840914;258133867528;26614;9;1;1;1
258133868150;258133871894;3744;9;1;1;1
258133872596;258133917492;44896;9;1;1;1
258133917970;258133950420;32450;9;1;1;1
258133954317;258134007875;53558;9;1;1;1
258134011861;258134091065;79204;9;1;1;1
258134091700;258134149317;57617;9;1;1;1
258134149912;258134150091;179;9;1;1;1
258134151073;258134275378;124305;9;1;1;1
258134275969;258134278526;2557;9;1;1;1
258134279082;258134279643;561;9;1;1;1
258134280294;258134338704;58410;9;1;1;1
258134339253;258134339810;557;9;1;1;1
258134343745;258134424020;80275;9;1;1;1
258134424670;258134505053;80383;9;1;1;1
258134505582;258134579756;74174;9;1;1;1
258134580394;258134626158;45764;9;1;1;1
258134626698;258134704739;78041;9;1;1;1
258134705380;258134745040;39660;9;1;1;1
258134745596;258134790203;44607;9;1;1;1
258134790768;258134871448;80680;9;1;1;1
258134872723;258134873219;496;9;1;1;1
258134874502;258134945610;71108;9;1;1;1
258134946380;258134946954;574;9;1;1;1
258134947495;258134995430;47935;9;1;1;1
258134996330;258134997298;968;9;1;1;1
258134997862;258135066801;68939;9;1;1;1
258135067317;258135151039;83722;9;1;1;1
258135151697;258135224329;72632;9;1;1;1
258135227819;258135228566;747;9;1;1;1
258135229204;258135229562;358;9;1;1;1
258135230716;258135310796;80080;9;1;1;1
258135311430;258135378946;67516;9;1;1;1
258135379638;258135462604;82966;9;1;1;1
258135466071;258135468954;2883;9;1;1;1
258135475284;258135476621;1337;9;1;1;1
258135477918;258135534594;56676;9;1;1;1
258135535162;258135536071;909;9;1;1;1
258135537224;258135574887;37663;9;1;1;1
258135574887;258135585110;10223;9;1;1;1
258135585110;258135585113;3;9;1;1;1
258135585113;258135585119;6;9;1;1;1
258135585119;258135585120;1;9;1;1;1
258135585120;258135585124;4;9;1;1;1
258135585124;258135585126;2;9;1;1;1
258135585126;258135585128;2;9;1;1;1
258135585128;258135585141;13;9;1;1;1
258135585141;258135585142;1;9;1;1;1
258135585142;258135585148;6;9;1;1;1
258135585148;258135585150;2;9;1;1;1
258135585150;258135585153;3;9;1;1;1
258135585153;258135585161;8;9;1;1;1
258135585161;258135585165;4;9;1;1;1
258135585165;258135585174;9;9;1;1;1
258135585174;258135585201;27;9;1;1;1
258135585201;258135585217;16;9;1;1;1
258135585217;258135585219;2;9;1;1;1
258135585219;258135585229;10;9;1;1;1
258135585229;258135585240;11;9;1;1;1
258135585240;258135585247;7;9;1;1;1
258135585247;258135585260;13;9;1;1;1
258135585260;258135585287;27;9;1;1;1
258135585287;258135585295;8;9;1;1;1
258135585295;258135585297;2;9;1;1;1
258135585297;258135585303;6;9;1;1;1
258135585303;258135585312;9;9;1;1;1
258135585312;258135585331;19;9;1;1;1
258135585331;258135585338;7;9;1;1;1
258135585338;258135585343;5;9;1;1;1
258135585343;258135585360;17;9;1;1;1
258135585360;258135585370;10;9;1;1;1
258135585370;258135585371;1;9;1;1;1
258135585371;258135585381;10;9;1;1;1
258135585381;258135585391;10;9;1;1;1
258135585391;258135585412;21;9;1;1;1
258135585412;258135585440;28;9;1;1;1
258135585440;258135585444;4;9;1;1;1
258135585444;258135585453;9;9;1;1;1
258135585453;258135585463;10;9;1;1;1
258135585463;258135585480;17;9;1;1;1
258135585480;258135585487;7;9;1;1;1
258135585487;258135585494;7;9;1;1;1
258135585494;258135585497;3;9;1;1;1
258135585497;258135585498;1;9;1;1;1
258135585498;258135585528;30;9;1;1;1
258135585528;258135585539;11;9;1;1;1
258135585539;258135585558;19;9;1;1;1
258135585558;258135585561;3;9;1;1;1
258135585561;258135585571;10;9;1;1;1
258135585571;258135585573;2;9;1;1;1
258135585573;258135585603;30;9;1;1;1
258135585603;258135585614;11;9;1;1;1
258135585614;258135585615;1;9;1;1;1
258135585615;258135585622;7;9;1;1;1
258135585622;258135585638;16;9;1;1;1
258135585638;258135585667;29;9;1;1;1
258135585667;258135585720;53;9;1;1;1
258135585720;258135585723;3;9;1;1;1
258135585723;258135585730;7;9;1;1;1
258135585730;258135585744;14;9;1;1;1
258135585744;258135585745;1;9;1;1;1
258135585745;258135585760;15;9;1;1;1
258135585760;258135585763;3;9;1;1;1
258135585763;258135585771;8;9;1;1;1
258135585771;258135585829;58;9;1;1;1
258135585829;258135585851;22;9;1;1;1
258135585851;258135585852;1;9;1;1;1
258135585852;258135585853;1;9;1;1;1
258135585853;258135585862;9;9;1;1;1
258135585862;258135585880;18;9;1;1;1
258135585880;258135585882;2;9;1;1;1
258135585882;258135585887;5;9;1;1;1
258135585887;258135585902;15;9;1;1;1
258135585902;258135585907;5;9;1;1;1
258135585907;258135585929;22;9;1;1;1
258135585929;258135585948;19;9;1;1;1
258135585948;258135585953;5;9;1;1;1
258135585953;258135585954;1;9;1;1;1
258135585954;258135585961;7;9;1;1;1
258135585961;258135585963;2;9;1;1;1
258135585963;258135585968;5;9;1;1;1
258135585968;258135586006;38;9;1;1;1
258135586006;258135586010;4;9;1;1;1
258135586010;258135586025;15;9;1;1;1
258135586025;258135586031;6;9;1;1;1
258135586031;258135586080;49;9;1;1;1
258135586080;258135586094;14;9;1;1;1
258135586094;258135586100;6;9;1;1;1
258135586100;258135586106;6;9;1;1;1
258135586106;258135586108;2;9;1;1;1
258135586108;258135586111;3;9;1;1;1
258135586111;258135586121;10;9;1;1;1
258135586121;258135586133;12;9;1;1;1
258135586133;258135586166;33;9;1;1;1
258135586166;258135586171;5;9;1;1;1
258135586171;258135586174;3;9;1;1;1
258135586174;258135586177;3;9;1;1;1
258135586177;258135586183;6;9;1;1;1
258135586183;258135586192;9;9;1;1;1
258135586192;258135586197;5;9;1;1;1
258135586197;258135586199;2;9;1;1;1
258135586199;258135586207;8;9;1;1;1
258135586207;258135586221;14;9;1;1;1
258135586221;258135586226;5;9;1;1;1
258135586226;258135586234;8;9;1;1;1
258135586234;258135586262;28;9;1;1;1
258135586262;258135586269;7;9;1;1;1
258135586269;258135586275;6;9;1;1;1
258135586275;258135586276;1;9;1;1;1
258135586276;258135586279;3;9;1;1;1
258135586279;258135586289;10;9;1;1;1
258135586289;258135586311;22;9;1;1;1
258135586311;258135586318;7;9;1;1;1
258135586318;258135586323;5;9;1;1;1
258135586323;258135586325;2;9;1;1;1
258135586325;258135586339;14;9;1;1;1
258135586339;258135586352;13;9;1;1;1
258135586352;258135586370;18;9;1;1;1
258135586370;258135586382;12;9;1;1;1
258135586382;258135586392;10;9;1;1;1
258135586392;258135586393;1;9;1;1;1
258135586393;258135586409;16;9;1;1;1
258135586409;258135586415;6;9;1;1;1
258135586415;258135586419;4;9;1;1;1
258135586419;258135586422;3;9;1;1;1
258135586422;258135586444;22;9;1;1;1
258135586444;258135586456;12;9;1;1;1
258135586456;258135586470;14;9;1;1;1
258135586470;258135586471;1;9;1;1;1
258135586471;258135586476;5;9;1;1;1
258135586476;258135586479;3;9;1;1;1
258135586479;258135586492;13;9;1;1;1
258135586492;258135586505;13;9;1;1;1
258135586505;258135586536;31;9;1;1;1
258135586536;258135586559;23;9;1;1;1
258135586559;258135586565;6;9;1;1;1
258135586565;258135586583;18;9;1;1;1
258135586583;258135586605;22;9;1;1;1
258135586605;258135586617;12;9;1;1;1
258135586617;258135586622;5;9;1;1;1
258135586622;258135586624;2;9;1;1;1
258135586624;258135586628;4;9;1;1;1
258135586628;258135586638;10;9;1;1;1
258135586638;258135586647;9;9;1;1;1
258135586647;258135586650;3;9;1;1;1
258135586650;258135586658;8;9;1;1;1
258135586658;258135586662;4;9;1;1;1
258135586662;258135586680;18;9;1;1;1
258135586680;258135586684;4;9;1;1;1
258135586684;258135586699;15;9;1;1;1
258135586699;258135586703;4;9;1;1;1
258135586703;258135586716;13;9;1;1;1
258135586716;258135586740;24;9;1;1;1
258135586740;258135586742;2;9;1;1;1
258135586742;258135586747;5;9;1;1;1
258135586747;258135586749;2;9;1;1;1
258135586749;258135586752;3;9;1;1;1
