start;end;duration;jobs;njobs;days;ndays
252856121574;252856785101;663527;3;1;4;1
252856785101;252856786767;1666;3;1;4;1
252856786767;252856832423;45656;3;1;4;1
252856832423;252856916559;84136;3;1;4;1
252856916559;252856916570;11;3;1;4;1
252856916570;252856916587;17;3;1;4;1
252856916587;252856916617;30;3;1;4;1
252856916617;252856916633;16;3;1;4;1
252856916633;252856916663;30;3;1;4;1
252856916663;252856916717;54;3;1;4;1
252856916717;252856917696;979;3;1;4;1
252856917696;252856917735;39;3;1;4;1
252856917735;252856917841;106;3;1;4;1
252856917841;252856917859;18;3;1;4;1
252856917859;252856917894;35;3;1;4;1
252856917894;252856917997;103;3;1;4;1
252856917997;252856918118;121;3;1;4;1
252856918118;252862407591;5489473;3;1;4;1
252862407591;254131044434;1268636843;3;1;4;1
257763390768;257810856778;47466010;1,3;2;4;1
