start;end;duration;jobs;njobs;days;ndays
258133524398;258133526480;2082;2,9;2;1;1
258133526830;258133527684;854;2,9;2;1;1
258133528732;258133529369;637;2,9;2;1;1
258133666592;258133667234;642;2,9;2;1;1
258133867528;258133868150;622;2,9;2;1;1
258133871894;258133872596;702;9;1;1;1
258133917492;258133917970;478;2,9;2;1;1
258133950420;258133954317;3897;2,9;2;1;1
258134007875;258134011861;3986;2,9;2;1;1
258134091065;258134091700;635;2,9;2;1;1
258134149317;258134149912;595;2,9;2;1;1
258134150091;258134150140;49;2,9;2;1;1
258134150140;258134151062;922;2,9;2;1;1
258134151062;258134151073;11;2,9;2;1;1
258134275378;258134275969;591;2,9;2;1;1
258134278526;258134279082;556;2,9;2;1;1
258134279643;258134280294;651;2,9;2;1;1
258134338704;258134339253;549;2,9;2;1;1
258134339810;258134343745;3935;2,9;2;1;1
258134424020;258134424670;650;2,9;2;1;1
258134505053;258134505582;529;2,9;2;1;1
258134579756;258134580394;638;2,9;2;1;1
258134626158;258134626698;540;2,9;2;1;1
258134704739;258134705380;641;2,9;2;1;1
258134745040;258134745596;556;2,9;2;1;1
258134790203;258134790768;565;2,9;2;1;1
258134871448;258134872723;1275;2,9;2;1;1
258134873219;258134873765;546;2,9;2;1;1
258134873765;258134873838;73;2,9;2;1;1
258134873838;258134874502;664;2,9;2;1;1
258134945610;258134946380;770;2,9;2;1;1
258134946954;258134947495;541;2,9;2;1;1
258134995430;258134996330;900;2,9;2;1;1
258134997298;258134997862;564;2,9;2;1;1
258135066801;258135067317;516;2,9;2;1;1
258135151039;258135151697;658;2,9;2;1;1
258135224329;258135224929;600;2,9;2;1;1
258135224929;258135225904;975;2,9;2;1;1
258135225904;258135227819;1915;2,9;2;1;1
258135228566;258135229204;638;2,9;2;1;1
258135229562;258135230716;1154;2,9;2;1;1
258135310796;258135311430;634;2,9;2;1;1
258135378946;258135379638;692;2,9;2;1;1
258135462604;258135463773;1169;2,9;2;1;1
258135463773;258135464571;798;2,9;2;1;1
258135464571;258135466071;1500;2,9;2;1;1
258135468954;258135472674;3720;2,9;2;1;1
258135472674;258135473072;398;2,9;2;1;1
258135473072;258135473412;340;2,9;2;1;1
258135473412;258135473799;387;2,9;2;1;1
258135473799;258135474005;206;2,9;2;1;1
258135474005;258135474585;580;2,9;2;1;1
258135474585;258135475284;699;2,9;2;1;1
258135476621;258135476881;260;2,9;2;1;1
258135476881;258135477393;512;2,9;2;1;1
258135477393;258135477918;525;2,9;2;1;1
258135534594;258135535162;568;2,9;2;1;1
258135536071;258135537224;1153;2,9;2;1;1
