start;end;duration;jobs;njobs;days;ndays
252856121574;252856785101;663527;2;1;3;1
252856785101;252856786767;1666;2;1;3;1
252856786767;252856832423;45656;2;1;3;1
252856832423;252856916559;84136;2;1;3;1
252856916559;252856916570;11;2;1;3;1
252856916570;252856916587;17;2;1;3;1
252856916587;252856916617;30;2;1;3;1
252856916617;252856916633;16;2;1;3;1
252856916633;252856916663;30;2;1;3;1
252856916663;252856916717;54;2;1;3;1
252856916717;252856917696;979;2;1;3;1
252856917696;252856917735;39;2;1;3;1
252856917735;252856917841;106;2;1;3;1
252856917841;252856917859;18;2;1;3;1
252856917859;252856917894;35;2;1;3;1
252856917894;252856917997;103;2;1;3;1
252856917997;252856918118;121;2;1;3;1
252856918118;252862407591;5489473;2;1;3;1
252862407591;254131044434;1268636843;2;1;3;1
254131044434;257763390768;3632346334;2;1;3;1
257763390768;257810856778;47466010;0,2;2;3;1
257810856778;258103810609;292953831;2;1;3;1
258457559852;258508445810;50885958;0;1;3;1
262296170660;262354571012;58400352;1;1;3;1
